PDBID,Chain1,Chain2,Uni1,Uni2
1all,A,B,P72504,P72505
1b0n,A,B,P06533,P23308
1bdj,A,B,P0AE67,P0AEC3
1cc1,S,L,P13063,P13065
1dj7,A,B,Q55389,Q55781
1e44,A,B,P02984,P00646
1fm0,D,E,P30748,P30749
1fr2,A,B,P13479,P09883
1frf,S,L,P18187,P18188
1fs0,E,G,P0A6E6,P0ABA6
